Method,Framework,Count,Mean,Allocated
'PerformAction: Comparison',.NET 6.0,250,"2,509.38",13864
'PerformAction: Comparison',.NET 7.0,250,"2,904.42",13864
'ToDelimitedString: Comparison',.NET 6.0,2,171.7,600
'ToDelimitedString: Comparison',.NET 7.0,2,181.89,600
'ToDelimitedString: Comparison',.NET 6.0,5,318.47,1152
'ToDelimitedString: Comparison',.NET 7.0,5,340.94,1152
'ToDelimitedString: Comparison',.NET 6.0,10,575.73,2072
'ToDelimitedString: Comparison',.NET 7.0,10,623.26,2072
'ToDelimitedString: Comparison',.NET 6.0,20,"1,016.82",3840
'ToDelimitedString: Comparison',.NET 7.0,20,"1,099.25",3840
'ToDelimitedString: Comparison',.NET 6.0,25,"1,301.64",5520
'ToDelimitedString: Comparison',.NET 7.0,25,"1,437.26",5520
'ToDelimitedString: Comparison',.NET 6.0,50,"2,425.11",10592
'ToDelimitedString: Comparison',.NET 7.0,50,"2,672.93",10592
'ToDelimitedString: Comparison',.NET 6.0,75,"3,358.39",13544
'ToDelimitedString: Comparison',.NET 7.0,75,"3,593.24",13544
'ToDelimitedString: Comparison',.NET 6.0,100,"4,533.16",20664
'ToDelimitedString: Comparison',.NET 7.0,100,"5,023.50",20664
'ToDelimitedString: Comparison',.NET 6.0,250,"10,015.46",46624
'ToDelimitedString: Comparison',.NET 7.0,250,"11,274.69",46624
BytesToString,.NET 6.0,2,"49,690.59",87064
BytesToString,.NET 7.0,2,"50,743.39",87064
BytesToString,.NET 6.0,5,"124,109.02",210528
BytesToString,.NET 7.0,5,"127,066.14",210528
BytesToString,.NET 6.0,10,"244,124.60",410920
BytesToString,.NET 7.0,10,"251,400.55",410920
BytesToString,.NET 6.0,20,"478,270.49",827776
BytesToString,.NET 7.0,20,"507,556.45",827777
BytesToString,.NET 6.0,25,"690,528.62",1028172
BytesToString,.NET 7.0,25,"711,896.80",1028175
CombineStrings,.NET 6.0,2,43.07,64
CombineStrings,.NET 7.0,2,46.96,64
CombineStrings,.NET 6.0,5,64.36,128
CombineStrings,.NET 7.0,5,69.24,128
CombineStrings,.NET 6.0,10,98.66,224
CombineStrings,.NET 7.0,10,102.59,224
CombineStrings,.NET 6.0,20,172.08,424
CombineStrings,.NET 7.0,20,176.42,424
CombineStrings,.NET 6.0,25,202.99,528
CombineStrings,.NET 7.0,25,213.24,528
PerformAction,.NET 6.0,2,50.4,128
PerformAction,.NET 7.0,2,57.13,128
PerformAction,.NET 6.0,5,66.22,192
PerformAction,.NET 7.0,5,77.34,192
PerformAction,.NET 6.0,10,107.45,288
PerformAction,.NET 7.0,10,111.58,288
PerformAction,.NET 6.0,20,166.28,488
PerformAction,.NET 7.0,20,183.92,488
PerformAction,.NET 6.0,25,195.76,592
PerformAction,.NET 7.0,25,221.16,592
ToDelimitedString,.NET 6.0,2,"1,873.94",2166
ToDelimitedString,.NET 7.0,2,"1,775.85",2169
ToDelimitedString,.NET 6.0,5,"2,730.96",3058
ToDelimitedString,.NET 7.0,5,"2,638.09",3062
ToDelimitedString,.NET 6.0,10,"4,310.73",4555
ToDelimitedString,.NET 7.0,10,"4,169.89",4582
ToDelimitedString,.NET 6.0,20,"7,618.13",7558
ToDelimitedString,.NET 7.0,20,"7,422.99",7663
ToDelimitedString,.NET 6.0,25,"7,020.46",7892
ToDelimitedString,.NET 7.0,25,NA,-
